Time_s,Pressure_mbar,Flow_ul_min
4.62,-0.25,0.00
5.62,-0.06,0.00
6.62,-0.19,0.00
7.62,-0.19,0.00
8.62,-0.25,0.00
9.62,-0.19,0.00
10.62,-0.25,0.00
11.62,-0.19,0.00
12.63,-0.19,0.00
13.63,50.38,0.00
14.63,150.95,0.00
15.63,251.26,0.00
16.63,351.60,0.00
17.63,451.76,0.00
18.63,500.06,0.00
20.64,500.00,0.00
21.64,499.94,0.00
22.65,499.94,0.00
23.65,446.32,0.00
25.65,245.56,0.00
26.65,145.37,0.00
28.65,419.08,0.00
29.65,318.46,0.00
30.66,217.77,0.00
31.66,116.34,0.00
32.66,14.21,0.00
33.66,-0.19,0.00
34.66,-0.25,0.00
35.66,-0.19,0.00
36.66,-0.19,0.00
37.66,-0.19,0.00
38.66,30.45,0.00
39.66,90.78,0.00
40.66,150.95,0.00
41.67,211.29,0.00
42.67,271.22,0.00
43.67,300.08,0.00
45.67,299.89,0.00
47.67,299.96,0.00
48.67,300.02,0.00
49.68,299.96,0.00
50.68,299.89,0.00
52.68,299.89,0.00
53.68,300.02,0.00
54.68,299.96,0.00
55.68,299.96,0.00
56.68,299.96,0.00
57.68,299.96,0.00
59.69,299.89,0.00
60.69,299.96,0.00
61.69,299.96,0.00
62.69,300.02,0.00
63.69,300.02,0.00
64.69,300.02,0.00
65.70,299.96,0.00
66.70,300.02,0.00
67.70,299.96,0.00
68.70,299.96,0.00
69.70,299.96,0.00
70.70,299.96,0.00
71.71,299.96,0.00
72.71,299.96,0.00
73.71,299.96,0.00
75.71,299.96,0.00
76.71,300.02,0.00
77.71,299.96,0.00
78.71,299.89,0.00
79.71,299.96,0.00
80.72,299.89,0.00
81.72,299.89,0.00
82.72,299.96,0.00
83.72,300.08,0.00
84.72,300.02,0.00
85.72,299.89,0.00
86.72,300.02,0.00
87.72,299.96,0.00
88.72,299.96,0.00
89.74,300.08,0.00
90.74,300.02,0.00
91.74,299.96,0.00
92.74,300.02,0.00
93.75,299.96,0.00
94.75,299.89,0.00
95.75,300.02,0.00
96.75,299.96,0.00
97.75,299.96,0.00
98.75,299.96,0.00
99.75,299.96,0.00
100.75,299.89,0.00
101.75,299.96,0.00
102.75,299.89,0.00
103.75,250.58,0.00
104.76,190.30,0.00
105.76,130.31,0.00
106.76,69.69,0.00
107.76,8.82,0.00
108.76,262.89,0.00
109.76,215.02,0.00
110.76,154.80,0.00
111.76,79.93,0.00
112.76,33.27,0.00
114.76,-0.19,0.00
115.77,-0.19,0.00
116.77,-0.19,0.00
117.77,-0.19,0.00
118.77,-0.25,0.00
119.77,-0.19,0.00
120.77,-0.25,0.00
121.77,-0.19,0.00
122.77,-0.19,0.00
123.78,-0.19,0.00
124.78,-0.19,0.00
127.78,100.53,0.00
128.78,200.82,0.00
129.78,301.18,0.00
130.78,401.51,0.00
131.78,500.43,0.00
132.78,499.94,0.00
133.79,500.00,0.00
134.79,499.94,0.00
135.79,500.00,0.00
136.79,497.00,0.00
137.79,396.31,0.00
138.80,296.16,0.00
139.80,195.93,0.00
140.80,145.99,0.00
142.80,379.59,0.00
143.80,277.65,0.00
144.80,176.53,0.00
145.81,119.83,0.00
147.81,-0.37,0.00
148.81,-0.19,0.00
149.81,-0.12,0.00
150.81,-0.12,0.00
151.81,-0.19,0.00
152.81,60.31,0.00
153.81,120.63,0.00
154.81,180.81,0.00
155.82,240.91,0.00
156.82,300.38,0.00
158.82,299.96,0.00
159.82,299.83,0.00
160.82,299.89,0.00
161.82,299.89,0.00
162.82,299.96,0.00
163.82,299.96,0.00
164.82,299.96,0.00
165.82,299.96,0.00
166.83,300.02,0.00
167.83,299.96,0.00
168.83,299.89,0.00
169.83,299.96,0.00
170.83,299.96,0.00
171.83,300.02,0.00
172.83,300.02,0.00
173.83,299.89,0.00
174.83,300.02,0.00
175.84,300.08,0.00
176.84,299.96,0.00
177.87,299.96,0.00
178.87,299.83,0.00
179.87,299.96,0.00
180.87,300.08,0.00
181.87,299.96,0.00
182.87,300.02,0.00
183.87,299.89,0.00
184.87,299.96,0.00
186.88,299.89,0.00
187.88,299.96,0.00
188.88,299.96,0.00
189.88,299.96,0.00
190.89,299.96,0.00
191.89,299.89,0.00
192.89,299.89,0.00
193.89,299.89,0.00
194.89,299.96,0.00
195.89,299.96,0.00
196.89,300.08,0.00
197.89,299.89,0.00
198.89,300.08,0.00
199.89,299.89,0.00
200.89,299.89,0.00
201.89,299.89,0.00
202.90,299.89,0.00
203.90,299.96,0.00
206.91,299.96,0.00
207.91,299.96,0.00
208.91,300.02,0.00
209.91,299.96,0.00
210.91,299.89,0.00
211.91,299.89,0.00
212.92,299.96,0.00
213.92,299.89,0.00
214.92,299.89,0.00
215.92,299.89,0.00
216.93,286.91,0.00
217.93,226.53,0.00
218.93,166.37,0.00
219.93,106.04,0.00
220.93,45.47,0.00
221.93,293.22,0.00
222.93,238.28,0.00
223.93,177.51,0.00
224.93,116.83,0.00
225.93,56.45,0.00
226.94,-0.49,0.00
227.94,-0.19,0.00
228.94,-0.19,0.00
229.94,-0.19,0.00
230.94,-0.19,0.00
231.94,-0.25,0.00
232.94,-0.19,0.00
233.94,-0.25,0.00
234.94,-0.12,0.00
235.95,-0.19,0.00
236.95,-0.19,0.00
237.97,-0.19,0.00
238.97,-0.06,0.00
239.98,-0.19,0.00
240.98,50.25,0.00
241.99,150.76,0.00
243.00,250.95,0.00
244.00,351.48,0.00
245.00,451.52,0.00
246.00,500.00,0.00
247.00,500.00,0.00
248.00,500.00,0.00
249.00,499.94,0.00
250.00,500.00,0.00
251.00,446.68,0.00
252.00,346.40,0.00
253.02,246.36,0.00
254.02,143.90,0.00
255.02,43.69,0.00
256.02,419.51,0.00
257.02,314.97,0.00
258.02,214.41,0.00
259.02,113.21,0.00
260.02,11.03,0.00
261.02,-0.25,0.00
262.02,-0.25,0.00
263.02,-0.12,0.00
264.03,-0.12,0.00
265.03,-0.12,0.00
266.03,30.21,0.00
267.03,90.60,0.00
268.03,150.88,0.00
269.03,211.90,0.00
270.03,272.02,0.00
271.03,300.08,0.00
272.03,299.96,0.00
273.03,299.96,0.00
274.04,299.96,0.00
275.04,300.08,0.00
276.04,300.02,0.00
278.04,299.96,0.00
279.04,299.96,0.00
280.04,299.96,0.00
281.04,299.96,0.00
282.04,299.89,0.00
283.05,299.96,0.00
284.05,299.96,0.00
285.05,300.02,0.00
286.05,300.02,0.00
287.05,300.02,0.00
288.05,299.96,0.00
289.05,299.96,0.00
290.05,300.02,0.00
291.05,299.96,0.00
292.05,299.77,0.00
293.06,300.02,0.00
294.06,299.96,0.00
295.06,299.96,0.00
296.06,300.02,0.00
297.06,300.02,0.00
298.06,299.89,0.00
299.06,299.96,0.00
300.06,299.96,0.00
301.07,299.89,0.00
302.07,299.96,0.00
303.07,299.89,0.00
304.07,300.02,0.00
305.07,299.96,0.00
306.07,299.96,0.00
307.08,299.96,0.00
308.08,299.89,0.00
309.08,299.96,0.00
310.08,299.96,0.00
311.08,299.83,0.00
312.08,299.89,0.00
313.08,299.96,0.00
314.09,299.89,0.00
315.09,299.89,0.00
316.09,299.89,0.00
317.09,299.89,0.00
318.09,300.02,0.00
319.09,299.96,0.00
320.09,299.96,0.00
321.09,299.89,0.00
322.09,299.96,0.00
323.09,299.96,0.00
324.10,299.96,0.00
325.10,299.96,0.00
326.10,299.96,0.00
327.10,299.96,0.00
329.10,300.08,0.00
330.10,299.83,0.00
331.10,280.72,0.00
333.12,129.94,0.00
334.12,69.87,0.00
335.12,9.43,0.00
336.12,259.59,0.00
337.12,198.68,0.00
338.12,137.84,0.00
339.12,94.09,0.00
340.12,19.42,0.00
341.12,-0.25,0.00
342.12,-0.25,0.00
343.13,-0.19,0.00
344.13,-0.19,0.00
345.13,-0.25,0.00
346.13,-0.19,0.00
347.13,-0.25,0.00
348.13,-0.37,0.00
349.13,-0.19,0.00
350.13,-0.19,0.00
351.13,-0.06,0.00
352.13,-0.12,0.00
353.13,-0.19,0.00
355.13,100.47,0.00
356.14,200.64,0.00
357.14,300.87,0.00
358.19,401.39,0.00
359.19,500.36,0.00
360.19,500.00,0.00
361.20,500.00,0.00
362.20,499.94,0.00
363.20,500.06,0.00
364.20,492.77,0.00
365.20,391.29,0.00
366.20,291.01,0.00
367.20,190.85,0.00
368.20,90.35,0.00
369.20,466.88,0.00
370.20,378.67,0.00
371.22,277.53,0.00
372.22,175.49,0.00
373.22,73.25,0.00
374.22,-0.43,0.00
375.22,-0.19,0.00
376.22,-0.12,0.00
377.22,-0.25,0.00
378.22,-0.19,0.00
379.23,-0.19,0.00
380.23,60.55,0.00
381.23,120.63,0.00
382.23,182.28,0.00
383.23,245.26,0.00
384.24,300.32,0.00
385.24,300.08,0.00
386.24,300.02,0.00
387.24,299.96,0.00
388.24,299.96,0.00
389.25,299.96,0.00
390.25,299.96,0.00
391.25,300.02,0.00
392.25,299.83,0.00
393.25,299.96,0.00
394.25,299.96,0.00
395.25,300.02,0.00
396.25,299.89,0.00
397.26,299.89,0.00
398.26,299.89,0.00
399.26,299.89,0.00
400.26,300.02,0.00
402.26,300.02,0.00
403.26,299.96,0.00
404.26,299.83,0.00
405.26,299.89,0.00
406.26,299.89,0.00
407.26,299.89,0.00
408.27,300.08,0.00
409.27,300.02,0.00
410.27,300.02,0.00
411.27,299.96,0.00
412.27,300.08,0.00
413.27,299.89,0.00
414.27,299.96,0.00
415.27,300.02,0.00
416.27,299.89,0.00
417.28,299.96,0.00
418.28,299.89,0.00
419.28,300.02,0.00
420.28,300.08,0.00
421.28,300.14,0.00
422.28,300.08,0.00
423.28,299.96,0.00
424.28,299.96,0.00
425.28,299.96,0.00
426.28,299.96,0.00
427.29,299.89,0.00
428.29,299.96,0.00
429.29,299.96,0.00
430.29,300.02,0.00
431.29,300.02,0.00
432.29,299.96,0.00
434.30,299.96,0.00
435.30,299.96,0.00
436.30,300.02,0.00
437.30,299.96,0.00
438.30,299.83,0.00
439.30,300.02,0.00
440.30,299.96,0.00
442.30,300.02,0.00
443.30,299.89,0.00
444.31,279.86,0.00
445.31,220.41,0.00
446.31,165.15,0.00
447.31,102.18,0.00
448.32,40.08,0.00
449.32,233.08,0.00
450.32,239.26,0.00
451.32,180.63,0.00
452.32,117.99,0.00
453.32,59.51,0.00
454.33,0.92,0.00
455.33,-0.31,0.00
456.33,-0.12,0.00
457.33,-0.19,0.00
458.33,-0.19,0.00
459.34,-0.25,0.00
460.34,-0.19,0.00
461.34,-0.19,0.00
462.34,-0.12,0.00
463.34,-0.19,0.00
649.28,-0.25,0.00
650.28,-0.19,0.00
651.28,-0.19,0.00
652.28,-0.19,0.00
653.28,-0.19,0.00
654.28,-0.12,0.00
655.29,-0.12,0.00
656.29,-0.19,0.00
657.29,-0.25,0.00
658.30,50.50,0.00
659.30,151.01,0.00
660.30,251.38,0.00
661.30,351.48,0.00
662.30,451.95,0.00
664.30,500.06,0.00
665.30,500.00,0.00
666.31,500.00,0.00
669.32,345.29,0.00
670.32,245.26,0.00
671.32,144.95,0.00
672.32,44.67,0.00
673.32,419.20,0.00
674.32,317.79,0.00
675.32,220.77,0.00
676.32,117.81,0.00
677.32,17.58,0.00
678.32,-0.25,0.00
679.32,-0.12,0.00
680.33,-0.19,0.00
681.33,-0.06,0.00
682.33,-0.12,0.00
683.33,30.27,0.00
684.33,90.47,0.00
685.33,151.19,0.00
686.33,211.72,0.00
687.33,271.96,0.00
688.33,300.08,0.00
689.33,299.96,0.00
690.33,299.96,0.00
691.33,299.96,0.00
692.34,300.02,0.00
693.34,299.96,0.00
694.34,300.02,0.00
695.34,299.96,0.00
696.34,299.89,0.00
697.34,299.96,0.00
698.34,300.02,0.00
699.34,300.02,0.00
700.34,299.96,0.00
701.34,300.02,0.00
702.34,300.02,0.00
703.35,299.96,0.00
704.35,300.02,0.00
705.35,300.02,0.00
706.35,300.02,0.00
708.35,300.02,0.00
709.35,299.89,0.00
710.35,299.89,0.00
711.35,299.96,0.00
712.36,299.96,0.00
713.36,299.96,0.00
714.36,300.02,0.00
715.36,299.96,0.00
716.36,299.96,0.00
717.36,299.89,0.00
718.36,299.96,0.00
719.36,300.14,0.00
720.36,300.02,0.00
721.37,300.02,0.00
722.37,300.08,0.00
723.37,299.96,0.00
724.37,299.96,0.00
725.37,300.02,0.00
726.37,299.89,0.00
727.37,299.83,0.00
728.37,299.96,0.00
729.38,299.96,0.00
730.38,299.96,0.00
732.38,299.96,0.00
733.38,299.96,0.00
734.38,299.89,0.00
735.38,299.96,0.00
736.38,299.89,0.00
737.39,300.08,0.00
738.39,300.02,0.00
739.39,299.96,0.00
740.39,299.96,0.00
741.39,300.02,0.00
742.39,299.96,0.00
743.39,299.96,0.00
744.40,299.96,0.00
745.40,300.02,0.00
746.40,300.02,0.00
747.40,299.96,0.00
748.40,251.75,0.00
749.40,191.40,0.00
750.40,131.04,0.00
751.40,71.10,0.00
752.40,10.66,0.00
753.40,259.71,0.00
754.41,215.08,0.00
755.41,154.50,0.00
756.41,80.97,0.00
757.41,33.46,0.00
758.41,-0.31,0.00
759.42,-0.19,0.00
760.42,-0.12,0.00
761.42,-0.06,0.00
762.42,-0.12,0.00
763.42,-0.12,0.00
764.42,-0.12,0.00
765.42,-0.19,0.00
766.42,-0.12,0.00
767.42,-0.19,0.00
769.43,-0.12,0.00
770.43,-0.19,0.00
771.43,-0.12,0.00
772.43,100.53,0.00
773.43,200.64,0.00
774.43,301.00,0.00
775.43,401.27,0.00
776.43,500.43,0.00
777.44,500.06,0.00
778.44,500.00,0.00
779.44,500.06,0.00
780.44,500.00,0.00
781.44,495.83,0.00
782.44,395.14,0.00
783.44,294.81,0.00
784.44,194.46,0.00
785.44,93.66,0.00
786.44,482.86,0.00
787.45,379.10,0.00
788.45,278.21,0.00
789.45,177.20,0.00
790.45,76.31,0.00
791.45,-0.37,0.00
792.45,-0.12,0.00
793.45,-0.19,0.00
794.46,-0.19,0.00
795.46,-0.12,0.00
796.46,-0.19,0.00
797.46,60.37,0.00
798.46,120.57,0.00
799.46,180.75,0.00
800.46,241.03,0.00
801.46,300.45,0.00
802.46,300.08,0.00
803.46,299.89,0.00
805.47,299.96,0.00
806.47,299.96,0.00
807.47,300.02,0.00
808.47,300.02,0.00
809.47,299.96,0.00
810.47,300.02,0.00
811.47,300.02,0.00
812.47,299.96,0.00
813.47,299.96,0.00
814.47,299.89,0.00
815.48,300.02,0.00
816.48,299.96,0.00
817.48,299.96,0.00
818.48,299.96,0.00
819.48,299.89,0.00
820.48,299.89,0.00
821.48,300.02,0.00
822.48,300.02,0.00
823.48,299.89,0.00
824.48,299.96,0.00
825.48,299.96,0.00
826.49,299.96,0.00
827.49,300.02,0.00
828.49,300.02,0.00
829.49,299.96,0.00
830.49,299.96,0.00
831.49,299.96,0.00
832.49,300.02,0.00
833.50,300.02,0.00
834.50,299.96,0.00
836.50,299.96,0.00
838.50,300.08,0.00
839.50,300.02,0.00
841.50,300.02,0.00
842.51,300.02,0.00
843.51,299.89,0.00
844.51,300.02,0.00
845.51,299.96,0.00
846.51,300.02,0.00
847.51,299.96,0.00
848.51,299.96,0.00
849.51,299.96,0.00
850.51,299.89,0.00
851.51,299.96,0.00
852.51,300.02,0.00
853.52,299.89,0.00
854.52,300.02,0.00
855.52,300.02,0.00
856.52,299.96,0.00
857.52,300.02,0.00
858.52,299.96,0.00
859.52,299.96,0.00
860.52,300.02,0.00
861.53,279.49,0.00
862.53,219.18,0.00
863.53,159.76,0.00
864.53,98.75,0.00
865.53,40.08,0.00
866.53,200.09,0.00
867.53,241.22,0.00
868.53,178.92,0.00
869.53,115.91,0.00
870.53,58.16,0.00
871.53,-2.21,0.00
872.54,-0.19,0.00
873.55,-0.25,0.00
874.55,-0.12,0.00
875.55,-0.19,0.00
876.55,-0.12,0.00
879.55,-0.19,0.00
880.55,-0.19,0.00
881.55,-0.19,0.00
882.55,-0.25,0.00
883.56,-0.19,0.00
884.56,-0.19,0.00
885.56,50.38,0.00
886.56,151.99,0.00
887.56,252.42,0.00
888.56,352.77,0.00
889.56,453.17,0.00
890.56,500.06,0.00
891.56,499.94,0.00
892.57,499.94,0.00
893.57,499.94,0.00
894.57,499.94,0.00
895.57,444.66,0.00
896.57,344.38,0.00
897.57,244.09,0.00
898.57,144.03,0.00
899.57,43.26,0.00
900.57,440.69,0.00
901.57,335.74,0.00
902.57,234.67,0.00
904.58,31.49,0.00
905.58,-0.31,0.00
906.58,-0.19,0.00
907.58,-0.19,0.00
908.58,-0.12,0.00
909.59,-0.12,0.00
910.59,30.58,0.00
911.59,90.96,0.00
912.59,151.31,0.00
913.59,211.66,0.00
914.59,271.71,0.00
915.59,300.14,0.00
916.59,299.96,0.00
917.59,299.89,0.00
918.59,300.02,0.00
919.59,300.02,0.00
920.59,300.02,0.00
921.60,299.96,0.00
922.60,299.83,0.00
923.60,300.02,0.00
924.60,300.02,0.00
925.60,299.96,0.00
926.60,299.96,0.00
927.60,299.96,0.00
928.60,299.89,0.00
929.60,299.96,0.00
930.60,299.96,0.00
931.60,299.89,0.00
932.63,300.02,0.00
933.63,299.96,0.00
934.63,299.96,0.00
936.63,299.89,0.00
937.63,299.96,0.00
938.63,300.02,0.00
939.63,299.96,0.00
940.64,300.02,0.00
941.64,299.96,0.00
942.64,300.02,0.00
943.64,299.96,0.00
945.04,300.08,0.00
946.09,300.02,0.00
947.09,299.96,0.00
949.09,300.02,0.00
950.09,300.02,0.00
951.09,300.02,0.00
952.09,299.96,0.00
953.09,299.96,0.00
954.10,300.02,0.00
955.10,299.89,0.00
956.10,300.02,0.00
957.10,299.96,0.00
958.27,300.02,0.00
959.27,300.02,0.00
960.27,300.02,0.00
961.27,299.96,0.00
962.27,299.96,0.00
963.28,299.96,0.00
964.28,300.02,0.00
965.28,300.02,0.00
966.28,300.02,0.00
967.28,300.02,0.00
968.28,300.02,0.00
969.28,300.02,0.00
970.28,299.96,0.00
972.28,300.02,0.00
973.29,300.02,0.00
974.29,300.02,0.00
975.29,299.83,0.00
976.29,239.07,0.00
977.29,179.04,0.00
978.29,118.67,0.00
979.29,118.73,0.00
980.30,289.23,0.00
981.30,227.26,0.00
982.30,166.43,0.00
983.30,105.74,0.00
984.30,44.43,0.00
985.30,-0.37,0.00
986.30,-0.19,0.00
987.30,-0.19,0.00
988.30,-0.12,0.00
989.30,-0.12,0.00
990.31,-0.19,0.00
991.31,-0.19,0.00
992.31,-0.12,0.00
993.31,-0.06,0.00
994.31,-0.12,0.00
995.31,-0.25,0.00
996.32,-0.19,0.00
998.32,-0.19,0.00
999.32,100.71,0.00
1000.32,200.70,0.00
1001.33,301.30,0.00
1002.33,401.94,0.00
1003.33,501.16,0.00
1004.33,500.06,0.00
1005.33,499.94,0.00
1006.34,500.00,0.00
1007.34,499.94,0.00
1008.34,496.94,0.00
1009.34,395.63,0.00
1010.34,295.42,0.00
1011.34,194.95,0.00
1012.34,95.07,0.00
1013.34,327.22,0.00
1014.34,399.37,0.00
1015.35,298.12,0.00
1016.35,236.56,0.00
1018.36,-4.41,0.00
1019.37,-0.25,0.00
1021.37,-0.12,0.00
1022.37,-0.12,0.00
1023.37,-0.12,0.00
1024.37,70.49,0.00
1025.37,109.17,0.00
1026.37,168.82,0.00
1027.37,225.42,0.00
1028.37,282.98,0.00
1029.37,299.96,0.00
1030.38,300.02,0.00
1031.38,300.02,0.00
1032.38,300.08,0.00
1033.38,299.89,0.00
1034.38,300.02,0.00
1035.38,299.89,0.00
1036.38,299.96,0.00
1037.38,299.96,0.00
1038.39,300.02,0.00
1039.39,299.96,0.00
1040.39,299.96,0.00
1041.39,300.02,0.00
1042.39,299.89,0.00
1043.39,299.96,0.00
1044.39,299.96,0.00
1045.39,299.96,0.00
1046.39,299.96,0.00
1047.39,300.02,0.00
1048.39,300.02,0.00
1049.39,299.96,0.00
1050.40,299.96,0.00
1051.40,299.89,0.00
1052.40,300.08,0.00
1053.40,299.96,0.00
1055.41,300.02,0.00
1056.41,299.96,0.00
1057.41,300.02,0.00
1058.41,300.08,0.00
1060.41,299.89,0.00
1061.41,299.96,0.00
1062.41,299.96,0.00
1063.41,299.96,0.00
1064.42,300.02,0.00
1065.42,300.02,0.00
1066.42,300.08,0.00
1067.42,299.96,0.00
1068.43,300.02,0.00
1069.43,299.96,0.00
1070.43,300.02,0.00
1071.43,299.96,0.00
1072.43,299.96,0.00
1073.43,299.96,0.00
1074.43,300.02,0.00
1076.44,300.02,0.00
1077.44,300.02,0.00
1078.44,299.96,0.00
1079.44,300.02,0.00
1080.44,300.02,0.00
1081.44,300.02,0.00
1082.45,299.96,0.00
1083.45,299.96,0.00
1084.45,300.08,0.00
1085.45,300.08,0.00
1086.46,300.02,0.00
1087.46,299.96,0.00
1088.46,299.96,0.00
1089.47,256.95,0.00
1090.47,196.72,0.00
1091.47,136.68,0.00
1092.47,76.31,0.00
1093.47,15.99,0.00
1094.47,251.50,0.00
1095.47,190.91,0.00
1096.47,130.25,0.00
1097.48,69.51,0.00
1098.48,9.13,0.00
1099.48,-0.19,0.00
1100.48,-0.19,0.00
1101.48,-0.19,0.00
1102.48,-0.19,0.00
1103.48,-0.12,0.00
1104.48,-0.19,0.00
1105.48,-0.12,0.00
1106.48,-0.06,0.00
1107.48,-0.12,0.00
1108.48,-0.12,0.00
1114.70,-0.19,0.00
1115.70,-0.19,0.00
1116.71,-0.12,0.00
1117.71,-0.12,0.00
1118.71,-0.12,0.00
1120.71,-0.06,0.00
1121.71,-0.19,0.00
1122.71,-0.12,0.00
1123.71,50.38,0.00
1124.72,150.88,0.00
1125.72,251.20,0.00
1127.72,452.50,0.00
1128.72,500.24,0.00
1129.72,500.06,0.00
1130.72,500.12,0.00
1132.72,499.94,0.00
1133.72,445.64,0.00
1134.72,343.58,0.00
1135.72,243.42,0.00
1136.72,143.17,0.00
1137.73,42.96,0.00
1138.73,439.83,0.00
1139.73,336.29,0.00
